id,class
58228,Pie
123891,Vertical box
135430,Vertical box
15491,Stacked vertical bar
120145,Vertical box
79065,Donut
20905,Stacked vertical bar
115190,Scatter
196515,Line
72828,Donut
168213,Line
4226,Grouped horizontal bar
150130,Vertical box
19664,Stacked vertical bar
65270,Donut
67749,Donut
183097,Line
163061,Line
69059,Donut
91190,Scatter
166030,Line
163675,Line
138239,Vertical box
63398,Donut
175230,Line
17,Grouped horizontal bar
141563,Vertical box
30525,Stacked vertical bar
178842,Line
65851,Donut
171299,Line
116189,Scatter
180170,Line
108950,Scatter
83102,Scatter
184507,Line
193820,Line
113140,Scatter
176354,Line
90630,Scatter
40388,Pie
161767,Line
187168,Line
1582,Grouped vertical bar
116804,Scatter
150752,Vertical box
158724,Vertical box
154395,Vertical box
69123,Donut
31801,Stacked horizontal bar
134723,Horizontal box
144432,Horizontal box
128333,Horizontal box
102398,Scatter
129599,Horizontal box
161776,Line
121836,Vertical box
3897,Grouped horizontal bar
83356,Scatter
103234,Scatter
1415,Grouped vertical bar
195911,Line
6895,Grouped horizontal bar
136471,Horizontal box
11363,Grouped horizontal bar
25666,Stacked horizontal bar
103789,Scatter
20769,Stacked horizontal bar
170621,Line
77598,Donut
170104,Line
4130,Grouped vertical bar
50151,Scatter
106548,Scatter
96330,Scatter
69475,Donut
18048,Stacked vertical bar
64486,Donut
98763,Scatter
9213,Grouped vertical bar
172275,Line
143253,Vertical box
92209,Scatter
25132,Stacked vertical bar
14161,Grouped vertical bar
190119,Line
6059,Grouped vertical bar
74792,Donut
126597,Horizontal box
31014,Stacked vertical bar
189305,Line
111314,Scatter
120949,Horizontal box
183707,Line
28897,Stacked horizontal bar
166405,Line
64351,Donut
16117,Stacked horizontal bar
156999,Vertical box
98838,Scatter
104848,Scatter
84301,Scatter
199800,Line
185280,Line
184357,Line
23687,Stacked horizontal bar
165461,Line
4583,Grouped horizontal bar
119497,Scatter
90536,Scatter
112123,Scatter
64359,Donut
20682,Stacked horizontal bar
32897,Stacked horizontal bar
56669,Stacked horizontal bar
11826,Grouped horizontal bar
49224,Pie
56266,Grouped vertical bar
83618,Scatter
183382,Line
164416,Line
27123,Stacked vertical bar
154393,Vertical box
12289,Grouped horizontal bar
38514,Stacked horizontal bar
10616,Grouped vertical bar
156813,Vertical box
59985,Grouped horizontal bar
25773,Stacked vertical bar
142042,Vertical box
37915,Stacked vertical bar
4323,Grouped vertical bar
123706,Vertical box
109962,Scatter
154792,Vertical box
112472,Scatter
106043,Scatter
155372,Horizontal box
131052,Horizontal box
171657,Line
195171,Line
174785,Line
67097,Donut
73959,Donut
194837,Line
176703,Line
132575,Horizontal box
55785,Scatter
134003,Vertical box
190889,Line
172853,Line
95615,Scatter
89971,Scatter
20282,Stacked vertical bar
144246,Horizontal box
161052,Line
7688,Grouped vertical bar
119273,Scatter
74967,Donut
151992,Vertical box
69614,Donut
44064,Pie
76341,Donut
16297,Stacked horizontal bar
101866,Scatter
25362,Stacked vertical bar
77890,Donut
19701,Stacked horizontal bar
47001,Pie
98310,Scatter
127596,Horizontal box
50768,Vertical box
9442,Grouped vertical bar
185031,Line
133215,Vertical box
119192,Scatter
93047,Scatter
76254,Donut
157179,Horizontal box
124491,Vertical box
4574,Grouped horizontal bar
43756,Stacked horizontal bar
56809,Pie
19151,Stacked horizontal bar
126826,Horizontal box
122531,Vertical box
180665,Line
51796,Stacked vertical bar
177009,Line
40509,Pie
156800,Vertical box
35773,Stacked horizontal bar
34761,Stacked horizontal bar
9809,Grouped horizontal bar
795,Grouped horizontal bar
67920,Donut
90915,Scatter
141022,Vertical box
145550,Horizontal box
116235,Scatter
199224,Line
187337,Line
118742,Scatter
114302,Scatter
134574,Horizontal box
111328,Scatter
119317,Scatter
140997,Horizontal box
184197,Line
187789,Line
34545,Stacked vertical bar
73078,Donut
186621,Line
183697,Line
90395,Scatter
187990,Line
68814,Donut
27287,Stacked horizontal bar
155934,Horizontal box
166565,Line
104241,Scatter
142756,Horizontal box
106032,Scatter
195469,Line
50093,Vertical box
78299,Donut
27264,Stacked horizontal bar
39130,Stacked horizontal bar
8181,Grouped vertical bar
25702,Stacked vertical bar
165669,Line
155960,Vertical box
116657,Scatter
156804,Vertical box
184071,Line
152912,Vertical box
191800,Line
91305,Scatter
72217,Donut
27257,Stacked horizontal bar
193369,Line
16092,Stacked horizontal bar
78097,Donut
30920,Stacked horizontal bar
57318,Grouped vertical bar
98280,Scatter
105716,Scatter
140057,Vertical box
44566,Pie
16480,Stacked horizontal bar
103911,Scatter
153941,Horizontal box
99620,Scatter
81162,Scatter
179965,Line
182652,Line
33648,Stacked vertical bar
194673,Line
85205,Scatter
23195,Stacked vertical bar
48088,Line
179468,Line
73052,Donut
7387,Grouped vertical bar
59469,Line
146466,Horizontal box
2434,Grouped vertical bar
186277,Line
20060,Stacked horizontal bar
175373,Line
164715,Line
105978,Scatter
54031,Pie
5430,Grouped vertical bar
63612,Donut
119173,Scatter
90011,Scatter
17618,Stacked horizontal bar
188995,Line
60177,Donut
42984,Scatter
151882,Vertical box
37368,Stacked horizontal bar
138087,Horizontal box
94150,Scatter
95262,Scatter
75090,Donut
164839,Line
38972,Stacked vertical bar
110623,Scatter
99106,Scatter
175078,Line
72485,Donut
56085,Pie
130025,Vertical box
91717,Scatter
121844,Vertical box
121694,Vertical box
130670,Horizontal box
198012,Line
193254,Line
152904,Horizontal box
164542,Line
151452,Vertical box
61390,Donut
43143,Vertical box
43421,Scatter
128939,Vertical box
176376,Line
43424,Horizontal box
96380,Scatter
190738,Line
103211,Scatter
86180,Scatter
85788,Scatter
10335,Grouped vertical bar
122549,Horizontal box
18262,Stacked vertical bar
25525,Stacked vertical bar
35595,Stacked vertical bar
175535,Line
108574,Scatter
80224,Scatter
115537,Scatter
145459,Horizontal box
32482,Stacked vertical bar
178044,Line
28116,Stacked vertical bar
169086,Line
26208,Stacked horizontal bar
29512,Stacked vertical bar
166645,Line
62721,Donut
175782,Line
127500,Vertical box
76507,Donut
124615,Horizontal box
192740,Line
93494,Scatter
35711,Stacked vertical bar
152107,Vertical box
81003,Scatter
25836,Stacked horizontal bar
78885,Donut
193059,Line
101965,Scatter
196807,Line
40181,Stacked horizontal bar
89516,Scatter
172257,Line
45335,Line
25210,Stacked horizontal bar
197438,Line
1166,Grouped horizontal bar
106112,Scatter
46908,Stacked vertical bar
146151,Vertical box
172954,Line
150159,Horizontal box
109710,Scatter
10869,Grouped vertical bar
7725,Grouped vertical bar
60846,Donut
197532,Line
93774,Scatter
36088,Stacked vertical bar
75450,Donut
193666,Line
47053,Stacked horizontal bar
47008,Vertical box
196178,Line
84203,Scatter
36581,Stacked horizontal bar
64925,Donut
85166,Scatter
53513,Vertical box
152427,Vertical box
59646,Line
134954,Vertical box
60218,Donut
12274,Grouped horizontal bar
112541,Scatter
182808,Line
46758,Horizontal box
54108,Pie
66709,Donut
94032,Scatter
70535,Donut
172639,Line
92216,Scatter
17841,Stacked vertical bar
173285,Line
97691,Scatter
13692,Grouped vertical bar
80965,Scatter
73456,Donut
173633,Line
16387,Stacked horizontal bar
140855,Vertical box
30906,Stacked horizontal bar
39677,Stacked horizontal bar
77232,Donut
165908,Line
133760,Vertical box
187298,Line
121605,Horizontal box
119627,Scatter
8156,Grouped horizontal bar
35238,Stacked horizontal bar
102288,Scatter
130959,Vertical box
94449,Scatter
194917,Line
28229,Stacked horizontal bar
29333,Stacked horizontal bar
172657,Line
158466,Horizontal box
67089,Donut
56581,Line
157908,Vertical box
63444,Donut
139850,Vertical box
85161,Scatter
121467,Horizontal box
73445,Donut
111568,Scatter
166117,Line
43937,Vertical box
118503,Scatter
82891,Scatter
164709,Line
154336,Vertical box
121176,Horizontal box
83569,Scatter
79917,Donut
118196,Scatter
51254,Line
60720,Donut
154313,Vertical box
4944,Grouped horizontal bar
198132,Line
194965,Line
47145,Grouped horizontal bar
7649,Grouped vertical bar
98753,Scatter
100006,Scatter
145919,Vertical box
53753,Stacked vertical bar
116789,Scatter
185843,Line
123792,Horizontal box
124790,Horizontal box
38781,Stacked horizontal bar
69729,Donut
168649,Line
90411,Scatter
58051,Pie
97029,Scatter
2538,Grouped vertical bar
77037,Donut
8044,Grouped horizontal bar
183831,Line
135193,Horizontal box
150866,Horizontal box
20538,Stacked horizontal bar
148026,Vertical box
55355,Stacked vertical bar
118901,Scatter
147018,Vertical box
135891,Vertical box
129723,Vertical box
198149,Line
91998,Scatter
174466,Line
146994,Horizontal box
148858,Vertical box
82794,Scatter
174382,Line
176630,Line
167567,Line
147872,Vertical box
1556,Grouped horizontal bar
45321,Scatter
44134,Vertical box
164978,Line
157123,Horizontal box
114890,Scatter
136705,Vertical box
138163,Horizontal box
164036,Line
62748,Donut
145448,Horizontal box
199567,Line
4479,Grouped vertical bar
87318,Scatter
3048,Grouped horizontal bar
110642,Scatter
152928,Vertical box
136189,Horizontal box
89208,Scatter
150538,Horizontal box
134013,Vertical box
196706,Line
151663,Vertical box
183508,Line
5722,Grouped horizontal bar
139025,Vertical box
150456,Vertical box
13706,Grouped vertical bar
15108,Stacked horizontal bar
190838,Line
116158,Scatter
183377,Line
105493,Scatter
37078,Stacked vertical bar
195041,Line
150796,Vertical box
158470,Vertical box
117574,Scatter
130198,Vertical box
162366,Line
64153,Donut
183976,Line
10223,Grouped horizontal bar
111054,Scatter
120309,Horizontal box
195709,Line
55001,Pie
2752,Grouped vertical bar
27122,Stacked vertical bar
20437,Stacked vertical bar
184794,Line
33144,Stacked vertical bar
28451,Stacked vertical bar
5401,Grouped vertical bar
171413,Line
155312,Vertical box
193609,Line
72216,Donut
174881,Line
171074,Line
96420,Scatter
130545,Vertical box
131991,Horizontal box
193691,Line
3067,Grouped vertical bar
130767,Vertical box
163246,Line
178584,Line
126210,Horizontal box
155662,Horizontal box
104804,Scatter
150974,Horizontal box
175386,Line
45935,Grouped vertical bar
26176,Stacked vertical bar
28504,Stacked horizontal bar
149825,Vertical box
15529,Stacked vertical bar
94382,Scatter
115571,Scatter
79201,Donut
48375,Pie
169511,Line
8301,Grouped horizontal bar
177087,Line
173226,Line
34089,Stacked horizontal bar
27452,Stacked horizontal bar
23747,Stacked vertical bar
103938,Scatter
103442,Scatter
37001,Stacked horizontal bar
39252,Stacked vertical bar
179184,Line
171209,Line
55799,Pie
111641,Scatter
12815,Grouped vertical bar
61497,Donut
90596,Scatter
135238,Horizontal box
166986,Line
131112,Horizontal box
60480,Donut
39453,Stacked horizontal bar
198574,Line
124712,Vertical box
17700,Stacked vertical bar
158096,Vertical box
180307,Line
34522,Stacked horizontal bar
32081,Stacked horizontal bar
155852,Horizontal box
85002,Scatter
76386,Donut
150861,Horizontal box
45621,Pie
115033,Scatter
67764,Donut
72821,Donut
99543,Scatter
127424,Vertical box
11967,Grouped horizontal bar
167365,Line
5966,Grouped vertical bar
93194,Scatter
162693,Line
59893,Scatter
15330,Stacked horizontal bar
130827,Vertical box
38656,Stacked vertical bar
141549,Vertical box
106353,Scatter
39378,Stacked horizontal bar
8332,Grouped vertical bar
135447,Horizontal box
176343,Line
119770,Scatter
128869,Vertical box
127258,Vertical box
27538,Stacked vertical bar
176278,Line
4601,Grouped horizontal bar
163720,Line
144987,Horizontal box
152186,Vertical box
197785,Line
101135,Scatter
144491,Horizontal box
30695,Stacked horizontal bar
21594,Stacked vertical bar
141121,Horizontal box
46527,Line
52440,Scatter
55684,Pie
51274,Grouped horizontal bar
118517,Scatter
186958,Line
144871,Vertical box
33094,Stacked horizontal bar
115256,Scatter
81534,Scatter
132422,Vertical box
14164,Grouped vertical bar
65736,Donut
115971,Scatter
73061,Donut
195433,Line
192692,Line
78267,Donut
78385,Donut
38863,Stacked horizontal bar
156826,Horizontal box
172406,Line
106710,Scatter
85521,Scatter
83083,Scatter
65936,Donut
41790,Scatter
160451,Line
101771,Scatter
37122,Stacked vertical bar
113395,Scatter
141459,Vertical box
147975,Vertical box
97294,Scatter
139980,Horizontal box
50594,Line
128507,Vertical box
96646,Scatter
15700,Stacked vertical bar
5444,Grouped vertical bar
113778,Scatter
129606,Vertical box
180894,Line
142808,Vertical box
38184,Stacked vertical bar
162308,Line
109724,Scatter
66758,Donut
89479,Scatter
75533,Donut
51148,Grouped horizontal bar
163553,Line
186786,Line
126215,Vertical box
7141,Grouped vertical bar
27768,Stacked vertical bar
40362,Pie
44642,Grouped horizontal bar
95258,Scatter
61338,Donut
194934,Line
12351,Grouped horizontal bar
165257,Line
25051,Stacked horizontal bar
94202,Scatter
76808,Donut
83867,Scatter
55552,Vertical box
177747,Line
103625,Scatter
141017,Vertical box
197717,Line
144489,Vertical box
183328,Line
76698,Donut
67497,Donut
94067,Scatter
112300,Scatter
22131,Stacked vertical bar
136093,Horizontal box
111295,Scatter
54900,Pie
176754,Line
28064,Stacked vertical bar
80137,Scatter
70835,Donut
110405,Scatter
34422,Stacked vertical bar
38119,Stacked horizontal bar
192040,Line
163316,Line
29624,Stacked vertical bar
97801,Scatter
163815,Line
196227,Line
112603,Scatter
90999,Scatter
10643,Grouped vertical bar
82527,Scatter
140975,Horizontal box
55381,Scatter
140634,Vertical box
96558,Scatter
174806,Line
65803,Donut
181320,Line
126804,Vertical box
37028,Stacked horizontal bar
112463,Scatter
149190,Vertical box
150048,Vertical box
122570,Vertical box
17905,Stacked horizontal bar
108210,Scatter
171918,Line
139990,Vertical box
115067,Scatter
5378,Grouped horizontal bar
125174,Horizontal box
169838,Line
137120,Horizontal box
144932,Horizontal box
41219,Donut
1518,Grouped vertical bar
139918,Horizontal box
28488,Stacked horizontal bar
136381,Horizontal box
169562,Line
989,Grouped horizontal bar
50669,Pie
151593,Vertical box
54181,Stacked horizontal bar
8099,Grouped horizontal bar
99909,Scatter
111882,Scatter
36162,Stacked horizontal bar
31460,Stacked horizontal bar
151123,Horizontal box
153060,Vertical box
25031,Stacked horizontal bar
60185,Donut
36403,Stacked vertical bar
97342,Scatter
100275,Scatter
31622,Stacked vertical bar
3845,Grouped vertical bar
155750,Horizontal box
156469,Vertical box
136695,Horizontal box
92176,Scatter
19207,Stacked vertical bar
105240,Scatter
66353,Donut
58647,Pie
180119,Line
49162,Grouped vertical bar
42034,Scatter
67846,Donut
53745,Stacked vertical bar
121983,Vertical box
121409,Horizontal box
42666,Pie
30504,Stacked horizontal bar
82801,Scatter
36733,Stacked horizontal bar
18963,Stacked horizontal bar
177268,Line
79675,Donut
140344,Vertical box
20510,Stacked horizontal bar
115968,Scatter
158031,Horizontal box
157482,Horizontal box
135705,Vertical box
120957,Vertical box
164077,Line
12882,Grouped horizontal bar
117096,Scatter
119727,Scatter
89653,Scatter
61952,Donut
123821,Horizontal box
15650,Stacked vertical bar
160128,Line
46325,Line
184929,Line
153718,Horizontal box
85885,Scatter
195644,Line
194182,Line
54788,Pie
2204,Grouped vertical bar
196125,Line
132624,Horizontal box
153140,Horizontal box
116164,Scatter
17617,Stacked vertical bar
175282,Line
61624,Donut
189084,Line
9472,Grouped vertical bar
90770,Scatter
23266,Stacked vertical bar
175825,Line
15426,Stacked vertical bar
80236,Scatter
39024,Stacked vertical bar
17367,Stacked horizontal bar
99490,Scatter
89757,Scatter
123268,Vertical box
193752,Line
197375,Line
58708,Scatter
167102,Line
703,Grouped horizontal bar
144999,Vertical box
10601,Grouped horizontal bar
170787,Line
183288,Line
152342,Horizontal box
118490,Scatter
83230,Scatter
39142,Stacked vertical bar
184012,Line
82156,Scatter
134160,Horizontal box
44374,Stacked vertical bar
104726,Scatter
190854,Line
98374,Scatter
169909,Line
122917,Vertical box
184927,Line
198979,Line
40081,Pie
147142,Horizontal box
176099,Line
30154,Stacked horizontal bar
43726,Grouped horizontal bar
44517,Pie
102519,Scatter
185616,Line
79584,Donut
63139,Donut
176789,Line
62174,Donut
17443,Stacked horizontal bar
71403,Donut
99440,Scatter
117496,Scatter
53737,Pie
137181,Vertical box
161138,Line
712,Grouped vertical bar
81875,Scatter
138675,Vertical box
92708,Scatter
167611,Line
20068,Stacked horizontal bar
136107,Vertical box
109808,Scatter
154994,Horizontal box
13400,Grouped vertical bar
62427,Donut
92150,Scatter
148547,Vertical box
175023,Line
170600,Line
57334,Donut
19567,Stacked horizontal bar
23717,Stacked horizontal bar
124680,Vertical box
14573,Grouped horizontal bar
11760,Grouped horizontal bar
79265,Donut
7380,Grouped horizontal bar
28263,Stacked horizontal bar
133348,Horizontal box
10628,Grouped vertical bar
81465,Scatter
81764,Scatter
142452,Horizontal box
168361,Line
195695,Line
136138,Horizontal box
65273,Donut
135196,Horizontal box
123219,Vertical box
151997,Vertical box
62472,Donut
20348,Stacked vertical bar
97958,Scatter
142966,Horizontal box
124814,Horizontal box
86389,Scatter
194805,Line
116599,Scatter
11189,Grouped horizontal bar
96675,Scatter
12199,Grouped vertical bar
152832,Horizontal box
181371,Line
184148,Line
148755,Horizontal box
168090,Line
6856,Grouped horizontal bar
29127,Stacked vertical bar
148005,Vertical box
156830,Vertical box
186994,Line
8462,Grouped vertical bar
169690,Line
193542,Line
25552,Stacked horizontal bar
93038,Scatter
162638,Line
127675,Horizontal box
101743,Scatter
106284,Scatter
198802,Line
165930,Line
2452,Grouped vertical bar
87041,Scatter
90746,Scatter
142383,Horizontal box
193207,Line
12676,Grouped horizontal bar
170708,Line
160641,Line
123008,Horizontal box
112207,Scatter
82703,Scatter
81399,Scatter
103265,Scatter
62991,Donut
69250,Donut
110307,Scatter
26691,Stacked vertical bar
52780,Pie
179923,Line
141070,Horizontal box
104174,Scatter
180355,Line
120437,Vertical box
144630,Vertical box
69633,Donut
129801,Vertical box
109131,Scatter
152319,Horizontal box
114334,Scatter
183925,Line
27726,Stacked vertical bar
139796,Vertical box
131628,Vertical box
126442,Horizontal box
37140,Stacked vertical bar
196960,Line
110039,Scatter
51644,Vertical box
151999,Horizontal box
93137,Scatter
152753,Horizontal box
20091,Stacked horizontal bar
67672,Donut
70093,Donut
22450,Stacked horizontal bar
122105,Vertical box
199369,Line
135212,Vertical box
184791,Line
161750,Line
45256,Grouped vertical bar
118557,Scatter
173522,Line
93989,Scatter
82183,Scatter
136538,Vertical box
180826,Line
103368,Scatter
28630,Stacked horizontal bar
131211,Vertical box
27949,Stacked horizontal bar
183445,Line
129800,Vertical box
66471,Donut
64963,Donut
166334,Line
73781,Donut
157937,Horizontal box
57368,Pie
90253,Scatter
4384,Grouped vertical bar
31946,Stacked horizontal bar
15665,Stacked horizontal bar
45376,Vertical box
145908,Vertical box
136862,Vertical box
112652,Scatter
12696,Grouped horizontal bar
81096,Scatter
160598,Line
81548,Scatter
167717,Line
63816,Donut
126820,Vertical box
160285,Line
146918,Horizontal box
79084,Donut
168417,Line
84871,Scatter
19256,Stacked vertical bar
94475,Scatter
140380,Horizontal box
44876,Line
194905,Line
103954,Scatter
177865,Line
51178,Pie
28989,Stacked horizontal bar
122245,Horizontal box
149937,Horizontal box
192171,Line
129922,Horizontal box
145724,Vertical box
16148,Stacked vertical bar
163427,Line
2333,Grouped horizontal bar
147862,Vertical box
121298,Vertical box
7666,Grouped vertical bar
158639,Vertical box
184875,Line
16618,Stacked horizontal bar
63257,Donut
134105,Vertical box
184494,Line
119816,Scatter
128580,Horizontal box
149137,Vertical box
64098,Donut
81908,Scatter
33796,Stacked horizontal bar
62337,Donut
70351,Donut
126466,Vertical box
125057,Horizontal box
84904,Scatter
92874,Scatter
114360,Scatter
19806,Stacked horizontal bar
14067,Grouped vertical bar
163740,Line
80833,Scatter
84704,Scatter
162045,Line
71311,Donut
198326,Line
69737,Donut
67679,Donut
135876,Horizontal box
170601,Line
692,Grouped vertical bar
135894,Horizontal box
60902,Donut
119204,Scatter
110164,Scatter
166668,Line
113230,Scatter
81268,Scatter
5212,Grouped vertical bar
126892,Horizontal box
180516,Line
84041,Scatter
161626,Line
172511,Line
199881,Line
57289,Pie
193440,Line
159689,Vertical box
150330,Vertical box
144915,Vertical box
110896,Scatter
143259,Horizontal box
31306,Stacked horizontal bar
169025,Line
135477,Vertical box
181749,Line
61976,Donut
41829,Stacked horizontal bar
54427,Stacked horizontal bar
188778,Line
2892,Grouped vertical bar
119529,Scatter
172027,Line
7702,Grouped horizontal bar
72493,Donut
35087,Stacked horizontal bar
16484,Stacked vertical bar
74372,Donut
99170,Scatter
135116,Horizontal box
169410,Line
190376,Line
177235,Line
5,Grouped vertical bar
134376,Vertical box
20505,Stacked horizontal bar
54875,Pie
172033,Line
75667,Donut
187170,Line
122611,Horizontal box
288,Grouped horizontal bar
56428,Pie
181376,Line
67267,Donut
138206,Vertical box
78185,Donut
150705,Horizontal box
78559,Donut
151629,Horizontal box
88416,Scatter
40050,Vertical box
70012,Donut
46572,Line
56833,Pie
6072,Grouped horizontal bar
195184,Line
179545,Line
17009,Stacked vertical bar
120217,Horizontal box
34696,Stacked vertical bar
58735,Scatter
3426,Grouped horizontal bar
46670,Line
98765,Scatter
83648,Scatter
158568,Horizontal box
71334,Donut
83836,Scatter
149005,Horizontal box
152461,Vertical box
83286,Scatter
105926,Scatter
37221,Stacked vertical bar
65536,Donut
51331,Pie
68187,Donut
158144,Horizontal box
169212,Line
49921,Scatter
24262,Stacked vertical bar
9050,Grouped horizontal bar
47594,Line
106227,Scatter
185569,Line
71746,Donut
158391,Vertical box
68431,Donut
4293,Grouped vertical bar
75538,Donut
144125,Vertical box
136685,Vertical box
49145,Donut
30824,Stacked vertical bar
159638,Horizontal box
155618,Vertical box
92972,Scatter
198072,Line
15173,Stacked horizontal bar
115234,Scatter
30132,Stacked horizontal bar
176800,Line
176650,Line
105058,Scatter
162383,Line
96657,Scatter
22611,Stacked horizontal bar
37928,Stacked horizontal bar
92621,Scatter
183364,Line
192735,Line
177759,Line
73702,Donut
62228,Donut
150640,Vertical box
182761,Line
88598,Scatter
192976,Line
140441,Vertical box
44615,Scatter
95909,Scatter
18206,Stacked horizontal bar
30992,Stacked vertical bar
154576,Vertical box
143419,Horizontal box
20832,Stacked horizontal bar
108685,Scatter
64048,Donut
199816,Line
6655,Grouped horizontal bar
175776,Line
178716,Line
145084,Horizontal box
98662,Scatter
39121,Stacked horizontal bar
106711,Scatter
168828,Line
110711,Scatter
187991,Line
134084,Vertical box
128558,Horizontal box
155127,Horizontal box
34972,Stacked vertical bar
187861,Line
172239,Line
198753,Line
72951,Donut
60736,Donut
167446,Line
140440,Vertical box
190031,Line
145940,Vertical box
84147,Scatter
158352,Vertical box
167105,Line
82556,Scatter
166755,Line
170516,Line
178294,Line
135884,Vertical box
23862,Stacked horizontal bar
79843,Donut
28401,Stacked vertical bar
44172,Pie
105694,Scatter
117864,Scatter
52896,Vertical box
88780,Scatter
120548,Vertical box
48746,Scatter
3419,Grouped vertical bar
69319,Donut
9360,Grouped vertical bar
25457,Stacked horizontal bar
184462,Line
159958,Horizontal box
117490,Scatter
190296,Line
52852,Scatter
89961,Scatter
33758,Stacked vertical bar
101448,Scatter
195827,Line
130578,Horizontal box
67207,Donut
77115,Donut
49519,Pie
152801,Horizontal box
150682,Vertical box
76048,Donut
109511,Scatter
247,Grouped vertical bar
110480,Scatter
66562,Donut
108387,Scatter
178121,Line
